student_id,age,gender,previous_grade,attendance_rate,assignments_completed,test_scores_avg,days_absent_last_term,late_arrivals,disciplinary_incidents,parent_education_level,family_income_level,has_internet_access,is_dropout,Class
1,16,0,66.19746187824465,63.09469777206591,93.3188308079065,68.98406694992407,8,6,0,4,3,0,0,Non-Dropout
2,13,1,47.52804477379648,83.32253359031255,94.67760496088648,51.6494709317003,5,4,0,3,3,1,0,Non-Dropout
3,17,1,66.52926451109504,77.79982769985756,100.0,75.61926347924589,5,5,2,5,2,0,0,Non-Dropout
4,14,0,71.57455557152525,56.835425994177925,59.721622466149725,48.85660539330157,5,2,1,1,3,0,0,Non-Dropout
5,16,0,66.3547503727839,100.0,21.258870143453123,38.41419823999878,2,3,1,3,1,1,0,Non-Dropout
6,19,1,61.0312362966712,61.683938613480834,53.57484300860786,34.88416152296685,3,0,0,1,2,1,0,Non-Dropout
7,12,0,72.29058022464123,20.869630843702737,93.98730013550306,43.310517330191594,4,3,0,2,2,0,0,Non-Dropout
8,16,1,38.92359645769782,65.58651527481726,67.96575191348882,82.35974125998631,2,4,2,2,3,0,0,Non-Dropout
9,17,0,51.590669138561296,95.61875136072649,34.88068292718867,61.96158822944727,2,2,1,2,2,0,0,Non-Dropout
10,14,0,45.421878532920346,70.86935926900122,27.91442559339542,64.4930000064191,4,4,2,5,1,0,0,Non-Dropout
11,13,0,85.22579557982235,42.30440443831442,100.0,67.80453648684308,1,3,0,2,1,1,0,Non-Dropout
12,17,1,75.68047581482581,54.43817112300282,85.21456392070981,49.84270705693057,1,0,1,1,2,1,0,Non-Dropout
13,17,0,67.77687551471027,53.380271684518846,57.58335685634745,57.804986403425886,5,6,2,5,4,1,0,Non-Dropout
14,12,1,43.24067519970788,63.49427509828079,100.0,59.248731945004984,3,2,3,3,2,0,0,Non-Dropout
15,15,0,76.16221683422178,69.76590047079662,100.0,51.03538346835063,3,5,0,2,4,1,0,Non-Dropout
16,14,1,85.79810202487724,84.87709217867905,95.87112758472686,57.71242647047855,5,3,0,3,3,0,0,Non-Dropout
17,11,0,73.57242104695344,77.56877409922467,88.88358044046957,63.17517315847801,4,1,1,4,3,0,0,Non-Dropout
18,17,1,64.47233875244665,78.52807564144243,83.20633998356014,61.28201032361002,3,3,0,1,4,1,0,Non-Dropout
19,15,1,74.47577047775923,100.0,91.39224041945484,71.49780043070508,0,0,0,2,3,1,0,Non-Dropout
20,11,1,69.09374171379034,92.21658680629837,100.0,57.71555484640676,7,1,2,3,2,1,0,Non-Dropout
21,14,1,78.89114350459607,90.45609327274602,45.682042966109,88.17267845793981,6,3,0,3,1,1,0,Non-Dropout
22,10,1,78.55528462689429,38.736761078043266,61.52308974259972,49.5088850639636,5,6,2,2,2,0,1,Dropout
23,19,1,61.6840169508451,59.96388805018714,68.80531171914717,57.04570898317994,5,5,3,1,2,1,1,Dropout
